jabko_url,jabko_name,jabko_price_uah,mygadget_url,mygadget_name,mygadget_price_uah
https://jabko.ua/product/apple-iphone-17-512gb-purple,Apple iPhone 17 512GB (Lavender),54699,https://mygadget.ua/iphones/iphone-17/apple-iphone-17-512gb-lavander,Apple iPhone 17 512Gb Lavander (MG6U4),54599
https://jabko.ua/product/apple-iphone-17-512gb-light-blue,Apple iPhone 17 512GB (Mist Blue),54699,https://mygadget.ua/iphones/iphone-17/apple-iphone-17-512gb-mist-blue,Apple iPhone 17 512Gb Mist Blue (MG6T4),54599
https://jabko.ua/product/apple-iphone-17-256gb-black-e-sim,Apple iPhone 17 256GB (Black) (e-Sim),38499,https://mygadget.ua/iphones/iphone-17/apple-iphone-17-256gb-black-mg464-e-sim,Apple iPhone 17 256Gb Black (MG464) e-Sim,38399
https://jabko.ua/product/apple-iphone-17-256gb-white-e-sim,Apple iPhone 17 256GB (White) (e-Sim),37999,https://mygadget.ua/iphones/iphone-17/apple-iphone-17-256gb-white-mg474-e-sim,Apple iPhone 17 256Gb White (MG474) e-Sim,37899
https://jabko.ua/product/apple-iphone-17-256gb-green-e-sim,Apple iPhone 17 256GB (Sage) (e-Sim),37999,https://mygadget.ua/iphones/iphone-17/apple-iphone-17-256gb-sage-mg4a4-e-sim,Apple iPhone 17 256Gb Sage (MG4A4) e-Sim,37899
https://jabko.ua/product/apple-iphone-17-256gb-purple-e-sim,Apple iPhone 17 256GB (Lavender) (e-Sim),37799,https://mygadget.ua/iphones/iphone-17/apple-iphone-17-256gb-lavander-mg494-e-sim,Apple iPhone 17 256Gb Lavander (MG494) e-Sim,37699
https://jabko.ua/product/apple-iphone-17-256gb-light-blue-e-sim,Apple iPhone 17 256GB (Mist Blue) (e-Sim),37999,https://mygadget.ua/iphones/iphone-17/apple-iphone-17-256gb-mist-blue-mg484-e-sim,Apple iPhone 17 256Gb Mist Blue (MG484) e-Sim,37899
https://jabko.ua/product/apple-iphone-17-512gb-black-e-sim,Apple iPhone 17 512GB (Black) (e-Sim),49999,https://mygadget.ua/iphones/iphone-17/apple-iphone-17-512gb-black-mg4e4-e-sim,Apple iPhone 17 512Gb Black (MG4E4) e-Sim,49989
https://jabko.ua/product/apple-iphone-17-512gb-white-e-sim,Apple iPhone 17 512GB (White) (e-Sim),52599,https://mygadget.ua/iphones/iphone-17/apple-iphone-17-512gb-white-mg4f4-e-sim,Apple iPhone 17 512Gb White (MG4F4) e-Sim,52589
https://jabko.ua/product/apple-iphone-17-512gb-green-e-sim,Apple iPhone 17 512GB (Sage) (e-Sim),52599,https://mygadget.ua/iphones/iphone-17/apple-iphone-17-512gb-sage-mg4q4-e-sim,Apple iPhone 17 512Gb Sage (MG4Q4) e-Sim,52589
https://jabko.ua/product/apple-iphone-17-512gb-purple-e-sim,Apple iPhone 17 512GB (Lavender) (e-Sim),52599,https://mygadget.ua/iphones/iphone-17/apple-iphone-17-512gb-lavander-mg4j4-e-sim,Apple iPhone 17 512Gb Lavander (MG4J4) e-Sim,52589
https://jabko.ua/product/apple-iphone-17-512gb-light-blue-e-sim,Apple iPhone 17 512GB (Mist Blue) (e-Sim),55199,https://mygadget.ua/iphones/iphone-17/apple-iphone-17-512gb-mist-blue-mg4h4-e-sim,Apple iPhone 17 512Gb Mist Blue (MG4H4) e-Sim,55189
https://jabko.ua/product/apple-iphone-17-air-256gb-black-e-sim,Apple iPhone 17 Air 256GB (Space Black) (e-Sim),43199,https://mygadget.ua/iphones/iphone-17-air/apple-iphone-air-256gb-space-black,Apple iPhone Air 256Gb Space Black (MG2L4),43489
https://jabko.ua/product/apple-iphone-17-air-256gb-light-blue-e-sim,Apple iPhone 17 Air 256GB (Sky Blue) (e-Sim),43599,https://mygadget.ua/iphones/iphone-17-air/apple-iphone-air-256gb-sky-blue,Apple iPhone Air 256Gb Sky Blue (MG2P4),43589
https://jabko.ua/product/apple-iphone-17-air-256gb-white-e-sim,Apple iPhone 17 Air 256GB (Cloud White) (e-Sim),43599,https://mygadget.ua/iphones/iphone-17-air/apple-iphone-air-256gb-cloud-white,Apple iPhone Air 256Gb Cloud White (MG2M4),43589
https://jabko.ua/product/apple-iphone-17-air-256gb-light-gold-e-sim,Apple iPhone 17 Air 256GB (Light Gold) (e-Sim),43599,https://mygadget.ua/iphones/iphone-17-air/apple-iphone-air-256gb-light-gold,Apple iPhone Air 256Gb Light Gold (MG2N4),43589
https://jabko.ua/product/apple-iphone-17-air-512gb-black-e-sim,Apple iPhone 17 Air 512GB (Space Black) (e-Sim),53999,https://mygadget.ua/iphones/iphone-17-air/apple-iphone-air-512gb-space-black,Apple iPhone Air 512Gb Space Black (MG2Q4),53989
https://jabko.ua/product/apple-iphone-17-air-512gb-light-blue-e-sim,Apple iPhone 17 Air 512GB (Sky Blue) (e-Sim),53999,https://mygadget.ua/iphones/iphone-17-air/apple-iphone-512gb-sky-blue,Apple iPhone Air 512Gb Sky Blue (MG2V4),53989
https://jabko.ua/product/apple-iphone-17-air-512gb-white-e-sim,Apple iPhone 17 Air 512GB (Cloud White) (e-Sim),53999,https://mygadget.ua/iphones/iphone-17-air/apple-iphone-air-512gb-cloud-white,Apple iPhone Air 512Gb Cloud White (MG2T4),53989
https://jabko.ua/product/apple-iphone-17-air-512gb-light-gold-e-sim,Apple iPhone 17 Air 512GB (Light Gold) (e-Sim),53399,https://mygadget.ua/iphones/iphone-17-air/apple-iphone-air-512gb-light-gold,Apple iPhone Air 512Gb Light Gold (MG2U4),53389
https://jabko.ua/product/apple-iphone-17-air-128gb-black-e-sim,Apple iPhone 17 Air 1TB (Space Black) (e-Sim),57499,https://mygadget.ua/iphones/iphone-17-air/apple-iphone-air-1tb-space-black,Apple iPhone Air 1Tb Space Black (MG2W4),57489
https://jabko.ua/product/apple-iphone-17-air-128gb-light-blue-e-sim,Apple iPhone 17 Air 1TB (Sky Blue) (e-Sim),56999,https://mygadget.ua/iphones/iphone-17-air/apple-iphone-1tb-sky-blue,Apple iPhone Air 1Tb Sky Blue (MG304),56989
https://jabko.ua/product/apple-iphone-17-air-128gb-white-e-sim,Apple iPhone 17 Air 1TB (Cloud White) (e-Sim),56599,https://mygadget.ua/iphones/iphone-17-air/apple-iphone-air-1tb-cloud-white,Apple iPhone Air 1Tb Cloud White (MG2X4),56589
https://jabko.ua/product/apple-iphone-17-air-128gb-light-gold-e-sim,Apple iPhone 17 Air 1TB (Light Gold) (e-Sim),56599,https://mygadget.ua/iphones/iphone-17-air/apple-iphone-air-1tb-light-gold,Apple iPhone Air 1Tb Light Gold (MG2Y4),56589
https://jabko.ua/product/apple-iphone-17-pro-256gb-dark-blue,Apple iPhone 17 Pro 256GB (Deep Blue),60999,https://mygadget.ua/iphones/iphone-17-pro/apple-iphone-17-pro-256gb-black,Apple iPhone 17 Pro 256Gb Deep Blue (MG8J4),60899
https://jabko.ua/product/apple-iphone-17-pro-256gb-gray,Apple iPhone 17 Pro 256GB (Silver),61899,https://mygadget.ua/iphones/iphone-17-pro/apple-iphone-17-pro-256gb-white,Apple iPhone 17 Pro 256Gb Silver (MG8G4),61789
https://jabko.ua/product/apple-iphone-17-pro-256gb-orange,Apple iPhone 17 Pro 256GB (Cosmic Orange),60599,https://mygadget.ua/iphones/iphone-17-pro/apple-iphone-17-pro-256gb-orange,Apple iPhone 17 Pro 256Gb Cosmic Orange (MG8H4),60489
https://jabko.ua/product/apple-iphone-17-pro-512gb-dark-blue,Apple iPhone 17 Pro 512GB (Deep Blue),72799,https://mygadget.ua/iphones/iphone-17-pro/apple-iphone-17-pro-512gb-black,Apple iPhone 17 Pro 512Gb Deep Blue (MG8N4),72689
https://jabko.ua/product/apple-iphone-17-pro-512gb-gray,Apple iPhone 17 Pro 512GB (Silver),72699,https://mygadget.ua/iphones/iphone-17-pro/apple-iphone-17-pro-512gb-white,Apple iPhone 17 Pro 512Gb Silver (MG8K4),72589
https://jabko.ua/product/apple-iphone-17-pro-512gb-orange,Apple iPhone 17 Pro 512GB (Cosmic Orange),71399,https://mygadget.ua/iphones/iphone-17-pro/apple-iphone-17-pro-512gb-orange,Apple iPhone 17 Pro 512Gb Cosmic Orange (MG8M4),71289
https://jabko.ua/product/apple-iphone-17-pro-1tb-dark-blue,Apple iPhone 17 Pro 1TB (Deep Blue),83799,https://mygadget.ua/iphones/iphone-17-pro/apple-iphone-17-pro-1tb-black,Apple iPhone 17 Pro 1Tb Deep Blue (MG8R4),83789
https://jabko.ua/product/apple-iphone-17-pro-1tb-gray,Apple iPhone 17 Pro 1TB (Silver),83899,https://mygadget.ua/iphones/iphone-17-pro/apple-iphone-17-pro-1tb-white,Apple iPhone 17 Pro 1Tb Silver (MG8P4),83889
